STAT_MONTH	STAT_YEAR	USD	EURO
1	2008	24.5	36.01
2	2008	24.53	36.12
3	2008	23.76	36.79
4	2008	23.51	37.15
5	2008	23.72	36.91
6	2008	23.64	36.8
7	2008	23.35	36.84
8	2008	24.15	36.26
9	2008	25.27	36.35
10	2008	26.36	35.28
11	2008	27.33	34.77
12	2008	28.15	37.99
1	2009	32.49	42.85
2	2009	35.81	45.79
3	2009	34.66	45.25
4	2009	33.58	44.28
5	2009	32	43.58
6	2009	31.06	43.53
7	2009	31.51	44.36
8	2009	31.65	45.1
9	2009	30.86	44.87
10	2009	29.46	43.64
11	2009	28.9	43.12
12	2009	29.96	43.84
1	2010	29.84	42.57
2	2010	30.16	41.31
3	2010	29.56	40.13
4	2010	29.19	39.23
5	2010	30.44	38.26
6	2010	31.17	38.11
7	2010	30.68	39.07
8	2010	30.35	39.21
9	2010	30.81	40.09
10	2010	30.32	42.09
11	2010	31	42.33
12	2010	30.86	40.78
1	2011	29.99	40.22
2	2011	29.32	40.01
3	2011	28.46	39.8
4	2011	28.08	40.55
5	2011	27.93	40.02
6	2011	28.01	40.26
7	2011	27.91	39.91
8	2011	28.75	41.22
9	2011	30.57	42.2
10	2011	31.39	42.92
11	2011	30.82	41.87
12	2011	31.49	41.49
1	2012	31.24	40.27
2	2012	29.89	39.48
3	2012	29.33	38.79
4	2012	29.49	38.81
5	2012	30.8	39.44
6	2012	32.88	41.21
7	2012	32.53	40.02
8	2012	31.96	39.57
9	2012	31.52	40.46
10	2012	31.12	40.34
11	2012	31.4	40.29
12	2012	30.74	40.31
1	2013	30.23	40.28
2	2013	30.16	40.38
3	2013	30.8	39.94
4	2013	31.35	40.78
5	2013	31.31	40.54
6	2013	32.31	42.6
7	2013	32.74	42.81
8	2013	33.03	43.97
9	2013	32.6	43.48
10	2013	32.1	43.75
11	2013	32.69	44.15
12	2013	32.88	45.03
1	2014	33.78	46.06
2	2014	35.24	48.11
3	2014	36.2	50.03
4	2014	35.67	49.24
5	2014	34.83	47.84
6	2014	34.45	46.86
7	2014	34.64	46.96
8	2014	36.1	48.1
9	2014	37.9	48.98
10	2014	40.13	50.86
11	2014	45.21	56.42
12	2014	53.07	65.63
1	2015	65.05	76.08
2	2015	66.85	75.96
3	2015	61.05	67.65
4	2015	54.62	58.84
5	2015	50.09	57.02
6	2015	54.8	61.19
7	2015	56.3	62.45
8	2015	62.69	68.6
9	2015	67.34	75.39
10	2015	63.68	71.65
11	2015	63.98	69.83
12	2015	67.59	72.68
1	2016	74.73	81.45
2	2016	77.95	86.86
3	2016	72.4	79.6
4	2016	67.25	76.31
5	2016	65.33	74.43
6	2016	65.63	73.88
7	2016	63.82	70.76
8	2016	65.2	72.8
9	2016	64.89	72.78
10	2016	62.76	69.73
11	2016	64.02	70.5
12	2016	63.69	67.87
1	2017	60.14	63.54
2	2017	59.14	63.3
3	2017	58.68	61.99
4	2017	56.5	60.14
5	2017	57.59	62.88
6	2017	56.78	63.72
7	2017	59.94	68.36
8	2017	60.2	71.04
9	2017	57.62	68.81
10	2017	57.79	68.03
11	2017	58.5	68.06
12	2017	58.9	69.72
1	2018	57.12	68.68
2	2018	56.93	70.62
3	2018	56.73	69.95
4	2018	59.52	73.25
5	2018	62.45	74.76
6	2018	62.05	72.7
7	2018	62.76	73.3
8	2018	64.31	74.44
9	2018	68.53	79.67
10	2018	66.14	76.34
11	2018	65.85	75.18
12	2018	66.6	75.65
1	2019	68.57	78.62
2	2019	65.75	74.95
3	2019	65.88	74.67
4	2019	65.13	73.2
5	2019	65.02	72.83
6	2019	65.19	73.16
7	2019	63.37	71.43
8	2019	64.785142	72.230908
9	2019	66.26272	73.008
10	2019	64.927067	71.187058
11	2019	63.7748	71.1918
12	2019	63.800445	70.591726
1	2020	61.531003	68.607177
2	2020	63.415811	69.669436
3	2020	67.321103	75.428529
4	2020	74.788077	81.903943
5	2020	73.661745	79.836258
6	2020	69.053993	78.173183
7	2020	71.108342	80.124368
8	2020	73.594845	87.128023
9	2020	75.63575	89.455253
10	2020	77.342232	91.010852
11	2020	79.269157	92.739643
12	2020	74.511967	90.1518
1	2021	73.954977	90.758477
2	2021	74.905007	90.339286
3	2021	73.5081	87.7981
4	2021	76.532336	90.378482
5	2021	74.867971	90.320571
6	2021	73.09533	88.92987
7	2021	73.81335	87.410958
8	2021	73.019883	86.729367
9	2021	73.009808	86.509075
10	2021	72.57512	84.02659
11	2021	71.337264	82.466729
12	2021	73.885408	83.496358
1	2022	74.368864	84.166045
2	2022	75.834362	86.262346
3	2022	104.080968	114.712681
4	2022	80.367418	88.369227
5	2022	68.92858	72.54685
6	2022	61.12365	64.45334
7	2022	56.6833	58.69025
8	2022	60.574942	61.692642
9	2022	60.592178	60.336567
10	2022	57.415929	55.011629
11	2022	61.597136	60.855364
12	2022	61.995278	65.004522
1	2023	70.267918	75.501818
2	2023	70.77973	76.67846
3	2023	75.4286	80.14163
4	2023	78.492086	85.556971
5	2023	77.965125	85.8788
6	2023	81.190822	87.063
7	2023	89.5616	97.455086
8	2023	94.702945	103.9226
9	2023	96.944488	104.806375
10	2023	98.617883	103.891067
11	2023	92.71551	98.70491
12	2023	90.683838	98.534962
1	2024	89.647867	98.927017
2	2024	90.691178	98.062967
3	2024	90.9723	98.7694
4	2024	92.615917	100.105275
